,Date Time,Actual Conductivity (ÂµS/cm),Specific Conductivity (ÂµS/cm),Salinity (psu),Resistivity (â„¦-cm),Density (g/cmÂ³),Total Dissolved Solids (mg/L),pH (pH),pH MV (mV),ORP (mV),DO (mg/L),% Saturation Oâ‚‚ (% sat),Partial Pressure Oâ‚‚ (psi),Temperature (C),External Voltage (V),Pressure (psi),Depth (m),Level: Depth to Water (m),station_id,easting,northing
0,2023-01-11 14:34:00.000,161.13510131835938,169.81427001953125,0.0897815972566604,6205.97265625,0.9987892508506776,110.37927865982056,6.345862865447998,33.32376480102539,242.2526397705078,5.585790634155273,58.14218521118164,1.7288530268441515,17.324094772338867,15.78600025177002,1.5765867233276367,1.2999485595703126,2.2649719230651857,FPZ_04A,1383303.353,3875869.513
1,2023-01-11 14:39:00.000,161.5494842529297,169.9202117919922,0.0898233875632286,6190.0537109375,0.9987720251083374,110.44813692569733,6.392928123474121,30.76314926147461,241.0128631591797,5.3295111656188965,55.56752395629883,1.653776381115175,17.420801162719727,15.812999725341797,1.5758419036865234,1.2994010639190674,2.17701435585022,FPZ_04A,1383303.353,3875869.513
2,2023-01-12 00:00:00.000,160.56321716308594,167.5901336669922,0.088505320250988,6228.07666015625,0.9987016320228576,108.93359035253523,6.545793533325195,22.439956665039062,233.12835693359372,3.561192035675049,37.53187561035156,1.121557364159803,17.80475425720215,15.777000427246094,1.5779380798339844,1.3009146343231202,2.1755404632568363,FPZ_04A,1383303.353,3875869.513
3,2023-01-13 00:00:00.000,160.4653778076172,167.549560546875,0.0884863659739494,6231.8740234375,0.99870502948761,108.90721529722214,6.533608913421631,23.105144500732425,233.1378936767578,3.341284990310669,35.483882904052734,1.0534621067788046,17.78632926940918,15.803999900817873,1.5864925384521484,1.3068721195220947,2.169526150131225,FPZ_04A,1383303.353,3875869.513
4,2023-01-14 00:00:00.000,160.04112243652344,167.14593505859375,0.0882705599069595,6248.39404296875,0.9987069964408876,108.64485800266266,6.524962902069092,23.57721328735352,230.4080047607422,3.378143310546875,35.86415100097656,1.0645632850852904,17.774520874023438,15.78600025177002,1.5920772552490234,1.3107986240386964,2.16559979095459,FPZ_04A,1383303.353,3875869.513
5,2023-01-15 00:01:00.000,160.0214385986328,167.1360321044922,0.0882657319307327,6249.16259765625,0.9987075924873352,108.63842815160751,6.523215293884277,23.67258071899414,229.8667907714844,3.399404287338257,35.81931686401367,1.0710417508725787,17.771326065063477,15.777000427246094,1.5827007293701172,1.3042365245819092,2.172192121124268,FPZ_04A,1383303.353,3875869.513
6,2023-01-16 00:01:00.000,160.19456481933594,167.36993408203125,0.0883943811058998,6242.4091796875,0.998710572719574,108.79045724868774,6.526329517364502,23.500919342041016,228.7700653076172,3.436342239379883,36.12442398071289,1.082077279270145,17.75542640686035,15.777000427246094,1.5832157135009766,1.304586939239502,2.171829933929444,FPZ_04A,1383303.353,3875869.513
7,2023-01-17 00:00:00.000,160.2533416748047,167.49317932128906,0.0884637758135795,6240.11962890625,0.9987139701843262,108.87056589126588,6.525430679321289,23.548603057861328,229.25405883789065,3.464622259140014,36.51577758789063,1.0903911394773644,17.736928939819336,15.777000427246094,1.585158348083496,1.3059657794952393,2.170464319610596,FPZ_04A,1383303.353,3875869.513
8,2023-01-18 00:00:00.000,160.21778869628906,167.5245819091797,0.0884839594364166,6241.50439453125,0.998717725276947,108.89098048210144,6.5208234786987305,23.79894256591797,227.1273651123047,3.497189283370972,36.98971939086914,1.0999691661329716,17.716428756713867,15.777000427246094,1.5820093154907229,1.3037202770233154,2.1726782833099367,FPZ_04A,1383303.353,3875869.513
9,2023-01-19 00:00:00.000,160.05763244628906,167.4603729248047,0.0884542018175125,6247.74951171875,0.998723328113556,108.84924232959747,6.520297527313232,23.82516860961914,226.45263671875,3.518154621124268,37.02301025390625,1.105754472151588,17.68555450439453,15.803999900817873,1.5779552459716797,1.3008666721343995,2.1755285453796387,FPZ_04A,1383303.353,3875869.513
10,2023-01-20 00:00:00.000,159.67193603515625,167.14039611816406,0.0882855653762817,6262.84130859375,0.9987277388572692,108.64125937223434,6.518995761871338,23.894309997558597,226.3858795166016,3.5638554096221924,37.68251419067383,1.119251872133641,17.66053581237793,15.812999725341797,1.576756477355957,1.3000252990722656,2.1763713718414306,FPZ_04A,1383303.353,3875869.513
11,2023-01-21 00:00:00.000,160.08071899414062,167.61538696289062,0.0885439813137054,6246.8486328125,0.998730480670929,108.95000398159029,6.521416187286377,23.76079559326172,224.70025634765625,3.535304546356201,37.16243362426758,1.1101845870166402,17.646488189697266,15.795000076293944,1.5716915130615234,1.2964643245697025,2.1799323463439944,FPZ_04A,1383303.353,3875869.513
12,2023-01-22 00:02:00.000,159.9304656982422,167.458984375,0.0884596779942512,6252.71728515625,0.998730480670929,108.84834080934525,6.522462368011475,23.703575134277344,223.99691772460935,3.562833070755005,37.307159423828125,1.1186300420974695,17.646207809448242,15.777000427246094,1.5718708038330078,1.296609228515625,2.1798061912536624,FPZ_04A,1383303.353,3875869.513
13,2023-01-23 00:00:00.000,159.90948486328125,167.50729370117188,0.0884890407323837,6253.53759765625,0.9987342953681946,108.87974500656128,6.52125358581543,23.76794815063477,224.387939453125,3.573939085006714,37.90412521362305,1.1215834765954853,17.625232696533203,15.777000427246094,1.782094955444336,1.444412706756592,2.032003875732422,FPZ_04A,1383303.353,3875869.513
14,2023-01-24 00:00:00.000,163.81944274902344,171.78919982910156,0.0908079668879509,6104.28173828125,0.998745858669281,111.66298389434814,6.650739669799805,16.684532165527344,218.47276306152344,4.674688816070557,48.843017578125,1.457874839980647,17.571063995361328,15.803999900817873,1.675119400024414,1.3692133724212647,2.1072151279449463,FPZ_04A,1383303.353,3875869.513
15,2023-01-25 00:00:00.000,159.64764404296875,167.40170288085938,0.0884400233626365,6263.79443359375,0.9987433552742004,108.81111025810242,6.5265421867370605,23.474693298339844,228.85589599609372,3.7322845458984375,38.97072982788086,1.1690349357068417,17.57486343383789,15.777000427246094,1.6932106018066406,1.3819368690490723,2.094495991516113,FPZ_04A,1383303.353,3875869.513
